,DateTime,Consumption,Price,Temperature
0,2021-01-01 00:00:00,1.99,0.0,-0.9
1,2021-01-01 01:00:00,1.46,3.094,-1.3
2,2021-01-01 02:00:00,1.1,3.019,-1.4
3,2021-01-01 03:00:00,1.03,2.974,-1.9
4,2021-01-01 04:00:00,1.04,2.941,-1.9
5,2021-01-01 05:00:00,1.28,2.943,-2.1
6,2021-01-01 06:00:00,1.99,2.983,-2.3
7,2021-01-01 07:00:00,1.59,3.031,-2.1
8,2021-01-01 08:00:00,1.2,3.091,-2.2
9,2021-01-01 09:00:00,0.68,3.088,-2.6
10,2021-01-01 10:00:00,1.02,3.109,-2.8
11,2021-01-01 11:00:00,1.6,3.178,-3.1
12,2021-01-01 12:00:00,2.18,3.214,-3.5
13,2021-01-01 13:00:00,1.78,3.24,-3.6
14,2021-01-01 14:00:00,1.21,3.295,-3.9
15,2021-01-01 15:00:00,1.22,3.385,-4.0
16,2021-01-01 16:00:00,1.19,3.548,-4.2
17,2021-01-01 17:00:00,1.76,3.751,-4.4
18,2021-01-01 18:00:00,2.21,3.744,-4.4
19,2021-01-01 19:00:00,1.78,3.574,-4.2
20,2021-01-01 20:00:00,1.36,3.503,-4.3
21,2021-01-01 21:00:00,1.32,3.388,-4.4
22,2021-01-01 22:00:00,2.71,3.503,-4.8
23,2021-01-01 23:00:00,2.01,3.349,-5.4
24,2021-01-02 00:00:00,2.21,3.179,-5.6
25,2021-01-02 01:00:00,1.84,3.173,-4.8
26,2021-01-02 02:00:00,1.39,3.089,-4.8
27,2021-01-02 03:00:00,1.39,3.068,-5.0
28,2021-01-02 04:00:00,1.42,3.058,-5.0
29,2021-01-02 05:00:00,2.03,3.065,-5.1
30,2021-01-02 06:00:00,2.33,3.09,-5.0
31,2021-01-02 07:00:00,1.76,3.177,-5.0
32,2021-01-02 08:00:00,1.32,3.248,-5.1
33,2021-01-02 09:00:00,1.41,3.474,-5.0
34,2021-01-02 10:00:00,1.35,3.429,-5.1
35,2021-01-02 11:00:00,2.15,3.575,-5.0
36,2021-01-02 12:00:00,2.33,3.69,-5.0
37,2021-01-02 13:00:00,1.5,3.549,-4.5
38,2021-01-02 14:00:00,1.37,3.561,-4.5
39,2021-01-02 15:00:00,1.34,4.555,-4.2
40,2021-01-02 16:00:00,1.55,5.71,-5.1
41,2021-01-02 17:00:00,2.35,7.301,-4.8
42,2021-01-02 18:00:00,2.23,7.503,-4.8
43,2021-01-02 19:00:00,1.41,7.42,-5.1
44,2021-01-02 20:00:00,1.39,4.979,-5.2
45,2021-01-02 21:00:00,1.35,3.395,-5.3
46,2021-01-02 22:00:00,3.81,3.863,-5.6
47,2021-01-02 23:00:00,2.38,3.461,-6.1
48,2021-01-03 00:00:00,1.92,3.217,-6.6
49,2021-01-03 01:00:00,1.56,3.133,-7.2
50,2021-01-03 02:00:00,1.53,3.049,-7.6
51,2021-01-03 03:00:00,1.56,2.959,-7.7
52,2021-01-03 04:00:00,2.27,2.923,-7.6
53,2021-01-03 05:00:00,2.49,2.913,-7.7
54,2021-01-03 06:00:00,1.86,2.957,-7.9
55,2021-01-03 07:00:00,1.5,2.982,-8.5
56,2021-01-03 08:00:00,1.6,3.075,-8.2
57,2021-01-03 09:00:00,1.76,3.096,-8.1
58,2021-01-03 10:00:00,2.06,3.181,-7.8
59,2021-01-03 11:00:00,2.74,3.224,-8.1
60,2021-01-03 12:00:00,1.68,3.233,-8.8
61,2021-01-03 13:00:00,1.69,3.208,-9.3
62,2021-01-03 14:00:00,1.41,3.203,-10.2
63,2021-01-03 15:00:00,3.84,3.226,-10.0
64,2021-01-03 16:00:00,3.58,3.286,-9.8
65,2021-01-03 17:00:00,2.62,3.478,-12.0
66,2021-01-03 18:00:00,2.62,3.538,-12.7
67,2021-01-03 19:00:00,2.88,3.493,-12.3
68,2021-01-03 20:00:00,3.12,3.462,-11.8
69,2021-01-03 21:00:00,2.52,3.417,-12.3
70,2021-01-03 22:00:00,5.2,3.487,-12.8
71,2021-01-03 23:00:00,5.93,3.246,-13.3
72,2021-01-04 00:00:00,5.42,3.09,-15.2
73,2021-01-04 01:00:00,4.7,3.058,-16.6
74,2021-01-04 02:00:00,1.9,2.982,-17.3
75,2021-01-04 03:00:00,1.99,2.961,-17.3
76,2021-01-04 04:00:00,2.05,2.98,-16.8
77,2021-01-04 05:00:00,1.98,3.048,-17.5
78,2021-01-04 06:00:00,2.1,3.204,-18.1
79,2021-01-04 07:00:00,3.07,3.498,-18.6
80,2021-01-04 08:00:00,2.51,6.17,-18.7
81,2021-01-04 09:00:00,2.15,6.748,-18.8
82,2021-01-04 10:00:00,3.37,6.289,-19.0
83,2021-01-04 11:00:00,3.11,6.87,-18.6
84,2021-01-04 12:00:00,3.04,7.01,-18.4
85,2021-01-04 13:00:00,3.15,6.457,-17.6
86,2021-01-04 14:00:00,3.65,7.01,-17.0
87,2021-01-04 15:00:00,4.18,7.191,-16.1
88,2021-01-04 16:00:00,4.07,7.196,-17.0
89,2021-01-04 17:00:00,2.59,7.502,-17.5
90,2021-01-04 18:00:00,3.15,8.087,-17.8
91,2021-01-04 19:00:00,3.28,7.446,-17.4
92,2021-01-04 20:00:00,2.58,6.663,-17.9
93,2021-01-04 21:00:00,3.21,4.672,-18.6
94,2021-01-04 22:00:00,5.02,4.773,-19.1
95,2021-01-04 23:00:00,5.7,3.838,-18.7
96,2021-01-05 00:00:00,5.24,3.391,-18.6
97,2021-01-05 01:00:00,4.98,3.448,-18.6
98,2021-01-05 02:00:00,2.47,3.404,-18.9
99,2021-01-05 03:00:00,2.09,3.358,-19.2
100,2021-01-05 04:00:00,2.5,3.365,-19.2
101,2021-01-05 05:00:00,2.99,3.446,-19.2
102,2021-01-05 06:00:00,2.72,3.696,-19.2
103,2021-01-05 07:00:00,3.14,4.437,-19.1
104,2021-01-05 08:00:00,3.26,6.651,-19.0
105,2021-01-05 09:00:00,2.53,7.44,-17.6
106,2021-01-05 10:00:00,3.91,7.455,-16.0
107,2021-01-05 11:00:00,3.73,7.586,-15.7
108,2021-01-05 12:00:00,2.83,7.745,-15.3
109,2021-01-05 13:00:00,2.53,7.624,-14.0
110,2021-01-05 14:00:00,2.57,7.724,-13.4
111,2021-01-05 15:00:00,2.69,7.693,-12.8
112,2021-01-05 16:00:00,2.97,7.751,-14.6
113,2021-01-05 17:00:00,2.86,7.968,-14.9
114,2021-01-05 18:00:00,2.86,8.134,-15.0
115,2021-01-05 19:00:00,2.35,7.456,-13.5
116,2021-01-05 20:00:00,1.76,6.778,-13.6
117,2021-01-05 21:00:00,2.61,5.057,-12.7
118,2021-01-05 22:00:00,3.53,4.91,-11.9
119,2021-01-05 23:00:00,5.7,3.975,-11.2
120,2021-01-06 00:00:00,3.69,3.622,-10.6
121,2021-01-06 01:00:00,3.76,3.699,-10.5
122,2021-01-06 02:00:00,1.83,3.561,-10.5
123,2021-01-06 03:00:00,1.31,3.486,-11.1
124,2021-01-06 04:00:00,2.69,3.47,-12.7
125,2021-01-06 05:00:00,2.89,3.492,-13.2
126,2021-01-06 06:00:00,2.4,3.596,-13.2
127,2021-01-06 07:00:00,1.78,3.809,-13.0
128,2021-01-06 08:00:00,2.16,4.407,-12.5
129,2021-01-06 09:00:00,2.42,4.858,-11.4
130,2021-01-06 10:00:00,3.56,5.193,-10.5
131,2021-01-06 11:00:00,4.25,5.713,-9.9
132,2021-01-06 12:00:00,3.32,5.613,-9.7
133,2021-01-06 13:00:00,2.0,5.73,-9.5
134,2021-01-06 14:00:00,2.68,5.871,-9.4
135,2021-01-06 15:00:00,2.58,6.362,-9.9
136,2021-01-06 16:00:00,3.35,6.808,-10.9
137,2021-01-06 17:00:00,3.85,7.242,-12.8
138,2021-01-06 18:00:00,3.66,7.431,-11.8
139,2021-01-06 19:00:00,3.82,6.903,-12.4
140,2021-01-06 20:00:00,3.09,6.231,-12.3
141,2021-01-06 21:00:00,3.35,4.94,-11.5
142,2021-01-06 22:00:00,4.55,4.951,-11.1
143,2021-01-06 23:00:00,5.23,4.799,-10.4
144,2021-01-07 00:00:00,5.63,4.03,-10.0
145,2021-01-07 01:00:00,5.13,5.342,-10.6
146,2021-01-07 02:00:00,5.65,5.072,-10.5
147,2021-01-07 03:00:00,5.16,4.86,-10.7
148,2021-01-07 04:00:00,3.03,4.933,-10.6
149,2021-01-07 05:00:00,2.38,5.119,-10.4
150,2021-01-07 06:00:00,2.78,5.647,-10.1
151,2021-01-07 07:00:00,2.52,6.94,-9.6
152,2021-01-07 08:00:00,2.48,8.407,-9.1
153,2021-01-07 09:00:00,3.64,10.469,-8.7
154,2021-01-07 10:00:00,3.23,10.399,-8.3
155,2021-01-07 11:00:00,2.55,10.223,-7.7
156,2021-01-07 12:00:00,2.05,10.663,-7.3
157,2021-01-07 13:00:00,1.91,10.504,-6.9
158,2021-01-07 14:00:00,1.6,10.204,-7.0
159,2021-01-07 15:00:00,2.7,9.749,-6.8
160,2021-01-07 16:00:00,4.25,10.115,-6.7
161,2021-01-07 17:00:00,2.76,11.12,-6.7
162,2021-01-07 18:00:00,1.68,12.389,-6.6
163,2021-01-07 19:00:00,2.6,10.493,-6.6
164,2021-01-07 20:00:00,2.11,9.646,-6.4
165,2021-01-07 21:00:00,1.04,8.085,-6.4
166,2021-01-07 22:00:00,3.61,7.357,-6.3
167,2021-01-07 23:00:00,5.35,7.224,-6.6
168,2021-01-08 00:00:00,4.82,6.323,-6.7
169,2021-01-08 01:00:00,3.44,6.114,-6.9
170,2021-01-08 02:00:00,1.32,5.875,-7.1
171,2021-01-08 03:00:00,1.28,5.677,-7.2
172,2021-01-08 04:00:00,1.11,5.519,-7.1
173,2021-01-08 05:00:00,1.52,5.666,-7.0
174,2021-01-08 06:00:00,2.54,6.241,-6.8
175,2021-01-08 07:00:00,1.9,7.404,-6.8
176,2021-01-08 08:00:00,1.77,9.865,-6.7
177,2021-01-08 09:00:00,2.46,12.839,-6.7
178,2021-01-08 10:00:00,2.17,13.367,-6.7
179,2021-01-08 11:00:00,1.88,13.308,-6.8
180,2021-01-08 12:00:00,1.98,12.928,-6.9
181,2021-01-08 13:00:00,2.23,12.389,-7.0
182,2021-01-08 14:00:00,1.82,11.813,-7.1
183,2021-01-08 15:00:00,1.69,11.497,-7.2
184,2021-01-08 16:00:00,1.48,11.832,-7.4
185,2021-01-08 17:00:00,2.2,11.78,-7.6
186,2021-01-08 18:00:00,3.23,13.64,-7.9
187,2021-01-08 19:00:00,2.69,12.394,-8.1
188,2021-01-08 20:00:00,2.17,9.935,-8.3
189,2021-01-08 21:00:00,1.48,7.624,-8.5
190,2021-01-08 22:00:00,2.21,7.369,-8.6
191,2021-01-08 23:00:00,4.3,6.971,-8.7
192,2021-01-09 00:00:00,4.37,6.26,-8.8
193,2021-01-09 01:00:00,4.53,5.9,-9.0
194,2021-01-09 02:00:00,2.9,5.833,-9.1
195,2021-01-09 03:00:00,1.97,5.764,-9.1
196,2021-01-09 04:00:00,2.25,5.911,-9.2
197,2021-01-09 05:00:00,1.55,5.957,-9.3
198,2021-01-09 06:00:00,1.57,5.923,-9.4
199,2021-01-09 07:00:00,1.28,5.984,-9.5
200,2021-01-09 08:00:00,1.7,6.468,-9.5
201,2021-01-09 09:00:00,2.7,7.206,-9.9
202,2021-01-09 10:00:00,2.22,8.02,-10.1
203,2021-01-09 11:00:00,2.13,8.136,-10.0
204,2021-01-09 12:00:00,3.21,8.17,-9.9
205,2021-01-09 13:00:00,2.77,8.056,-10.6
206,2021-01-09 14:00:00,1.77,7.508,-11.8
207,2021-01-09 15:00:00,2.81,7.209,-12.4
208,2021-01-09 16:00:00,3.42,7.44,-11.3
209,2021-01-09 17:00:00,3.06,7.785,-11.1
210,2021-01-09 18:00:00,4.36,8.67,-11.7
211,2021-01-09 19:00:00,2.61,8.642,-12.2
212,2021-01-09 20:00:00,2.07,8.155,-12.3
213,2021-01-09 21:00:00,2.39,6.191,-12.3
214,2021-01-09 22:00:00,4.9,5.946,-12.1
215,2021-01-09 23:00:00,5.24,5.39,-12.3
216,2021-01-10 00:00:00,4.35,4.543,-12.4
217,2021-01-10 01:00:00,4.9,4.816,-12.8
218,2021-01-10 02:00:00,2.11,4.46,-13.1
219,2021-01-10 03:00:00,1.7,4.259,-13.3
220,2021-01-10 04:00:00,1.63,4.2,-14.0
221,2021-01-10 05:00:00,3.01,4.196,-15.3
222,2021-01-10 06:00:00,2.68,4.242,-15.2
223,2021-01-10 07:00:00,1.75,4.22,-16.7
224,2021-01-10 08:00:00,2.26,4.664,-18.2
225,2021-01-10 09:00:00,2.87,4.847,-18.7
226,2021-01-10 10:00:00,2.06,5.054,-18.6
227,2021-01-10 11:00:00,4.69,5.476,-18.8
228,2021-01-10 12:00:00,4.1,5.622,-18.4
229,2021-01-10 13:00:00,2.25,5.55,-16.5
230,2021-01-10 14:00:00,2.27,5.498,-14.6
231,2021-01-10 15:00:00,3.03,5.636,-14.7
232,2021-01-10 16:00:00,4.98,5.787,-14.2
233,2021-01-10 17:00:00,4.62,6.289,-13.5
234,2021-01-10 18:00:00,4.12,6.814,-13.0
235,2021-01-10 19:00:00,2.65,6.614,-12.4
236,2021-01-10 20:00:00,2.37,6.124,-12.0
237,2021-01-10 21:00:00,0.62,5.757,-11.6
238,2021-01-10 22:00:00,0.79,5.517,-10.9
239,2021-01-10 23:00:00,3.73,4.969,-9.8
240,2021-01-11 00:00:00,5.51,4.449,-8.8
241,2021-01-11 01:00:00,5.29,5.034,-8.5
242,2021-01-11 02:00:00,5.56,4.909,-8.5
243,2021-01-11 03:00:00,4.03,4.685,-8.5
244,2021-01-11 04:00:00,1.64,4.393,-8.6
245,2021-01-11 05:00:00,1.66,4.624,-8.2
246,2021-01-11 06:00:00,1.94,5.135,-8.1
247,2021-01-11 07:00:00,2.43,5.305,-8.6
248,2021-01-11 08:00:00,3.95,6.52,-9.1
249,2021-01-11 09:00:00,5.28,7.099,-9.6
250,2021-01-11 10:00:00,4.02,6.256,-9.7
251,2021-01-11 11:00:00,3.55,6.251,-9.8
252,2021-01-11 12:00:00,3.45,6.226,-9.9
253,2021-01-11 13:00:00,3.28,5.715,-9.6
254,2021-01-11 14:00:00,3.08,5.587,-9.3
255,2021-01-11 15:00:00,3.58,6.046,-9.2
256,2021-01-11 16:00:00,4.54,6.231,-8.8
257,2021-01-11 17:00:00,3.48,5.367,-8.6
258,2021-01-11 18:00:00,3.67,5.578,-8.6
259,2021-01-11 19:00:00,2.59,5.323,-8.6
260,2021-01-11 20:00:00,2.49,4.924,-8.6
261,2021-01-11 21:00:00,3.65,4.602,-9.1
262,2021-01-11 22:00:00,3.52,4.246,-9.2
263,2021-01-11 23:00:00,6.63,4.118,-9.0
264,2021-01-12 00:00:00,4.88,3.396,-9.0
265,2021-01-12 01:00:00,1.88,2.409,-9.0
266,2021-01-12 02:00:00,2.16,1.962,-9.3
267,2021-01-12 03:00:00,2.57,2.356,-10.5
268,2021-01-12 04:00:00,2.79,2.993,-11.2
269,2021-01-12 05:00:00,3.37,3.348,-11.5
270,2021-01-12 06:00:00,2.64,4.344,-11.7
271,2021-01-12 07:00:00,2.36,4.977,-11.8
272,2021-01-12 08:00:00,2.7,6.759,-11.2
273,2021-01-12 09:00:00,3.69,7.519,-10.8
274,2021-01-12 10:00:00,3.65,6.815,-10.6
275,2021-01-12 11:00:00,3.9,7.006,-10.6
276,2021-01-12 12:00:00,4.18,6.862,-11.1
277,2021-01-12 13:00:00,3.37,6.212,-12.0
278,2021-01-12 14:00:00,2.28,5.958,-14.0
279,2021-01-12 15:00:00,2.8,5.957,-15.1
280,2021-01-12 16:00:00,3.46,6.449,-15.8
281,2021-01-12 17:00:00,4.03,7.571,-16.1
282,2021-01-12 18:00:00,2.97,7.951,-16.4
283,2021-01-12 19:00:00,3.25,7.49,-16.6
284,2021-01-12 20:00:00,2.51,6.256,-16.7
285,2021-01-12 21:00:00,3.08,5.182,-17.0
286,2021-01-12 22:00:00,3.14,5.048,-17.6
287,2021-01-12 23:00:00,5.68,4.681,-18.1
288,2021-01-13 00:00:00,6.39,4.293,-18.6
289,2021-01-13 01:00:00,5.72,4.096,-18.8
290,2021-01-13 02:00:00,3.13,4.021,-18.7
291,2021-01-13 03:00:00,2.4,3.916,-18.7
292,2021-01-13 04:00:00,2.27,3.824,-18.7
293,2021-01-13 05:00:00,2.58,3.928,-18.7
294,2021-01-13 06:00:00,2.27,4.564,-18.8
295,2021-01-13 07:00:00,3.84,5.192,-18.9
296,2021-01-13 08:00:00,4.66,6.235,-18.9
297,2021-01-13 09:00:00,2.62,6.961,-18.8
298,2021-01-13 10:00:00,2.84,6.454,-19.0
299,2021-01-13 11:00:00,2.52,7.785,-19.6
300,2021-01-13 12:00:00,2.47,7.951,-19.3
301,2021-01-13 13:00:00,2.84,7.688,-19.1
302,2021-01-13 14:00:00,3.11,7.948,-19.2
303,2021-01-13 15:00:00,2.05,7.795,-19.4
304,2021-01-13 16:00:00,1.77,8.03,-19.6
305,2021-01-13 17:00:00,2.32,8.49,-20.1
306,2021-01-13 18:00:00,2.36,8.389,-20.2
307,2021-01-13 19:00:00,2.38,8.604,-20.6
308,2021-01-13 20:00:00,2.11,7.182,-21.0
309,2021-01-13 21:00:00,3.21,6.231,-22.3
310,2021-01-13 22:00:00,3.36,6.258,-22.6
311,2021-01-13 23:00:00,5.23,5.747,-23.5
312,2021-01-14 00:00:00,5.06,4.716,-23.1
313,2021-01-14 01:00:00,4.94,5.476,-23.8
314,2021-01-14 02:00:00,2.89,5.477,-24.2
315,2021-01-14 03:00:00,1.97,4.586,-24.7
316,2021-01-14 04:00:00,2.03,4.891,-25.6
317,2021-01-14 05:00:00,1.9,5.688,-25.3
318,2021-01-14 06:00:00,3.16,9.925,-25.2
319,2021-01-14 07:00:00,3.62,10.213,-26.4
320,2021-01-14 08:00:00,3.75,15.082,-27.0
321,2021-01-14 09:00:00,3.29,11.284,-26.4
322,2021-01-14 10:00:00,2.8,11.069,-26.6
323,2021-01-14 11:00:00,2.63,11.114,-26.1
324,2021-01-14 12:00:00,3.04,11.29,-25.1
325,2021-01-14 13:00:00,3.22,11.025,-24.8
326,2021-01-14 14:00:00,3.11,11.066,-25.1
327,2021-01-14 15:00:00,2.52,10.669,-25.8
328,2021-01-14 16:00:00,4.02,12.285,-26.8
329,2021-01-14 17:00:00,3.98,12.393,-27.5
330,2021-01-14 18:00:00,2.65,12.789,-27.6
331,2021-01-14 19:00:00,4.04,11.455,-27.6
332,2021-01-14 20:00:00,4.01,10.875,-27.3
333,2021-01-14 21:00:00,3.34,9.248,-27.8
334,2021-01-14 22:00:00,4.05,7.78,-27.7
335,2021-01-14 23:00:00,6.32,7.689,-27.6
336,2021-01-15 00:00:00,6.26,6.894,-27.1
337,2021-01-15 01:00:00,6.56,6.074,-26.0
338,2021-01-15 02:00:00,5.33,5.889,-25.3
339,2021-01-15 03:00:00,3.57,5.731,-24.6
340,2021-01-15 04:00:00,2.7,5.617,-23.6
341,2021-01-15 05:00:00,2.89,5.809,-22.4
342,2021-01-15 06:00:00,2.86,13.63,-21.7
343,2021-01-15 07:00:00,3.5,13.629,-20.8
344,2021-01-15 08:00:00,3.84,9.925,-20.2
345,2021-01-15 09:00:00,3.71,11.983,-19.5
346,2021-01-15 10:00:00,2.91,12.42,-18.8
347,2021-01-15 11:00:00,2.56,12.393,-18.0
348,2021-01-15 12:00:00,3.69,11.05,-16.9
349,2021-01-15 13:00:00,3.89,10.069,-16.2
350,2021-01-15 14:00:00,3.13,9.736,-15.7
351,2021-01-15 15:00:00,2.48,9.801,-15.2
352,2021-01-15 16:00:00,2.26,9.78,-14.9
353,2021-01-15 17:00:00,1.39,10.418,-14.5
354,2021-01-15 18:00:00,2.45,12.338,-14.0
355,2021-01-15 19:00:00,2.28,12.154,-13.4
356,2021-01-15 20:00:00,2.27,11.781,-12.5
357,2021-01-15 21:00:00,2.02,9.573,-11.8
358,2021-01-15 22:00:00,4.67,8.33,-11.6
359,2021-01-15 23:00:00,4.88,7.765,-11.1
360,2021-01-16 00:00:00,4.25,6.659,-10.7
361,2021-01-16 01:00:00,4.91,6.583,-10.8
362,2021-01-16 02:00:00,1.56,6.405,-11.2
363,2021-01-16 03:00:00,1.5,6.185,-10.6
364,2021-01-16 04:00:00,1.52,6.008,-10.3
365,2021-01-16 05:00:00,1.57,5.963,-10.0
366,2021-01-16 06:00:00,1.85,5.871,-9.8
367,2021-01-16 07:00:00,2.15,5.952,-9.6
368,2021-01-16 08:00:00,3.59,6.377,-9.4
369,2021-01-16 09:00:00,1.88,9.751,-9.5
370,2021-01-16 10:00:00,3.13,9.91,-9.1
371,2021-01-16 11:00:00,1.63,9.516,-8.7
372,2021-01-16 12:00:00,3.43,9.097,-8.3
373,2021-01-16 13:00:00,5.04,9.1,-8.3
374,2021-01-16 14:00:00,5.79,10.567,-8.1
375,2021-01-16 15:00:00,4.3,6.446,-9.0
376,2021-01-16 16:00:00,6.71,9.09,-8.0
377,2021-01-16 17:00:00,6.43,10.074,-8.1
378,2021-01-16 18:00:00,6.46,9.91,-9.0
379,2021-01-16 19:00:00,2.15,9.102,-8.9
380,2021-01-16 20:00:00,1.58,7.906,-8.3
381,2021-01-16 21:00:00,1.37,7.126,-7.9
382,2021-01-16 22:00:00,1.05,6.57,-7.7
383,2021-01-16 23:00:00,1.49,6.438,-7.4
384,2021-01-17 00:00:00,2.59,5.973,-7.0
385,2021-01-17 01:00:00,2.07,5.765,-6.8
386,2021-01-17 02:00:00,2.27,5.558,-6.6
387,2021-01-17 03:00:00,0.75,5.579,-5.8
388,2021-01-17 04:00:00,0.8,5.578,-5.8
389,2021-01-17 05:00:00,0.83,5.503,-6.1
390,2021-01-17 06:00:00,1.63,5.497,-4.2
391,2021-01-17 07:00:00,1.8,5.622,-3.5
392,2021-01-17 08:00:00,1.54,5.766,-4.1
393,2021-01-17 09:00:00,2.77,5.88,-4.5
394,2021-01-17 10:00:00,1.96,6.34,-4.5
395,2021-01-17 11:00:00,4.14,6.789,-4.2
396,2021-01-17 12:00:00,4.0,7.202,-3.4
397,2021-01-17 13:00:00,4.29,6.768,-3.3
398,2021-01-17 14:00:00,1.57,6.55,-3.9
399,2021-01-17 15:00:00,1.0,6.194,-4.3
400,2021-01-17 16:00:00,2.58,7.063,-4.1
401,2021-01-17 17:00:00,4.11,7.514,-4.0
402,2021-01-17 18:00:00,4.48,8.314,-4.1
403,2021-01-17 19:00:00,3.08,8.928,-3.7
404,2021-01-17 20:00:00,1.84,8.405,-3.6
405,2021-01-17 21:00:00,3.08,7.744,-3.7
406,2021-01-17 22:00:00,5.17,6.889,-4.4
407,2021-01-17 23:00:00,2.95,6.464,-5.2
408,2021-01-18 00:00:00,3.05,5.816,-5.2
409,2021-01-18 01:00:00,2.12,5.437,-4.7
410,2021-01-18 02:00:00,1.67,5.502,-4.9
411,2021-01-18 03:00:00,2.09,5.472,-6.0
412,2021-01-18 04:00:00,2.34,5.514,-6.1
413,2021-01-18 05:00:00,2.93,5.559,-5.7
414,2021-01-18 06:00:00,2.89,7.307,-5.5
415,2021-01-18 07:00:00,3.9,9.082,-5.2
416,2021-01-18 08:00:00,3.73,9.395,-4.8
417,2021-01-18 09:00:00,2.92,9.786,-4.2
418,2021-01-18 10:00:00,3.0,9.381,-3.4
419,2021-01-18 11:00:00,2.66,8.985,-3.2
420,2021-01-18 12:00:00,2.59,8.743,-2.9
421,2021-01-18 13:00:00,3.45,8.727,-2.7
422,2021-01-18 14:00:00,3.14,8.828,-2.6
423,2021-01-18 15:00:00,2.7,8.713,-2.8
424,2021-01-18 16:00:00,2.99,8.955,-2.9
425,2021-01-18 17:00:00,2.8,9.296,-2.9
426,2021-01-18 18:00:00,2.1,9.547,-3.1
427,2021-01-18 19:00:00,2.01,8.992,-3.2
428,2021-01-18 20:00:00,2.0,7.842,-3.3
429,2021-01-18 21:00:00,2.59,6.309,-3.5
430,2021-01-18 22:00:00,4.72,6.444,-3.7
431,2021-01-18 23:00:00,5.73,5.818,-3.8
432,2021-01-19 00:00:00,4.71,4.691,-3.9
433,2021-01-19 01:00:00,1.98,4.557,-4.0
434,2021-01-19 02:00:00,1.64,4.457,-4.5
435,2021-01-19 03:00:00,1.6,4.308,-4.8
436,2021-01-19 04:00:00,2.76,4.459,-5.0
437,2021-01-19 05:00:00,2.68,4.551,-5.4
438,2021-01-19 06:00:00,1.92,6.832,-5.3
439,2021-01-19 07:00:00,2.71,9.212,-5.3
440,2021-01-19 08:00:00,3.07,10.533,-5.3
441,2021-01-19 09:00:00,2.15,9.823,-5.3
442,2021-01-19 10:00:00,2.72,9.212,-5.3
443,2021-01-19 11:00:00,2.95,9.207,-5.3
444,2021-01-19 12:00:00,2.35,9.006,-5.1
